,Model,Type,Type,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
1,Building 1.5198.1,2,Elect,0.78501827,0.569461673,0.764342896,0.8046695,0.527405603,4.35E-104,0.201464202,0.781755196,0.788659794,0.804994055,0.764044944,0.804994055,0.781755196,0.793204452,0.527405603,0.412302071,0.512180268,0.785207495
2,Building 2.5199.1,2,Elect,0.872107186,0.531943543,0.854982057,0.887889233,0.830085262,1.59E-06,0.147299139,0.931034483,0.584229391,0.916245487,0.634241245,0.916245487,0.931034483,0.923580786,0.830085262,0.772838002,0.843483557,0.757631937
3,Building 3.5286.1,2,Elect,0.813032887,0.625038865,0.793316908,0.831622876,0.515834348,3.91E-139,0.01203172,0.845336482,0.778616352,0.802690583,0.825333333,0.802690583,0.845336482,0.82346176,0.515834348,0.436053593,0.543239951,0.811976417
4,Building 5.5290.1,2,Elect,0.84409257,0.617018563,0.825629013,0.861316513,0.710718636,7.85E-37,0.348501424,0.897172237,0.713684211,0.885038039,0.738562092,0.885038039,0.897172237,0.89106383,0.710718636,0.637637028,0.72046285,0.805428224
5,Building 6.5304.1,2,Elect,0.980996068,0.838033891,0.972820497,0.98723675,0.938401048,9.39E-16,0.710346569,0.861702128,0.988826816,0.835051546,0.990902729,0.835051546,0.861702128,0.848167539,0.061598952,0.053079948,0.063564875,0.925264472
6,Building 7.5306.1,2,Elect,0.819732034,0.586021038,0.800268164,0.838045481,0.681485993,7.72E-37,0.771342653,0.865058088,0.722753346,0.869721473,0.714555766,0.869721473,0.865058088,0.867383513,0.681485993,0.58952497,0.677831912,0.793905717
7,Building 8.5308.1,2,Elect,0.831912302,0.590899243,0.812931491,0.849698167,0.721071864,4.16E-26,0.062044063,0.869932432,0.733624454,0.894097222,0.685714286,0.894097222,0.869932432,0.881849315,0.721071864,0.6272838,0.701583435,0.801778443
8,Building 5.5310.1,2,Elect,0.84226553,0.486301055,0.823722084,0.859576072,0.797198538,1.71E-06,0.006256492,0.918258212,0.543543544,0.88774003,0.628472222,0.88774003,0.918258212,0.902741269,0.797198538,0.732034105,0.824604141,0.730900878
9,Building 10.5311.1,2,Elect,0.84043849,0.498187332,0.821815984,0.857834798,0.786845311,2.53E-08,0.00246806,0.917956656,0.554285714,0.883755589,0.646666667,0.883755589,0.917956656,0.900531511,0.786845311,0.72228989,0.817295981,0.736121185
10,Building 11.5313.1,2,Elect,0.862971985,0.570050018,0.845385584,0.879249176,0.78136419,2.18E-17,1.08E-05,0.938425565,0.593314763,0.891851852,0.729452055,0.891851852,0.938425565,0.914546145,0.78136419,0.733252132,0.822168088,0.765870164
