"","Model","Type","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"1","Building 1.5198.1","2","1","1","0.998203915354931","1","0.515107212475634","0","NaN","1","1","1","1","1","1","1","0.515107212475634","0.515107212475634","0.515107212475634","1"
"2","Building 2.5199.1","2","1","1","0.998203915354931","1","0.828947368421053","6.56623041676309e-168","NaN","1","1","1","1","1","1","1","0.828947368421053","0.828947368421053","0.828947368421053","1"
"3","Building 3.5286.1","2","1","1","0.998203915354931","1","0.505847953216374","0","NaN","1","1","1","1","1","1","1","0.494152046783626","0.494152046783626","0.494152046783626","1"
"4","Building 5.5290.1","2","1","1","0.998203915354931","1","0.712475633528265","7.65725668366194e-303","NaN","1","1","1","1","1","1","1","0.712475633528265","0.712475633528265","0.712475633528265","1"
"5","Building 6.5304.1","2","1","1","0.998068492789557","1","0.944968553459119","1.24829124354101e-47","NaN","1","1","1","1","1","1","1","0.0550314465408805","0.0550314465408805","0.0550314465408805","1"
"6","Building 7.5306.1","2","1","1","0.998203915354931","1","0.696393762183236","3.45845952088873e-323","NaN","1","1","1","1","1","1","1","0.696393762183236","0.696393762183236","0.696393762183236","1"
"7","Building 8.5308.1","2","1","1","0.998203915354931","1","0.717836257309941","3.6652289369102e-296","NaN","1","1","1","1","1","1","1","0.717836257309941","0.717836257309941","0.717836257309941","1"
"8","Building 5.5310.1","2","1","1","0.998203915354931","1","0.794834307992203","2.33127035016541e-205","NaN","1","1","1","1","1","1","1","0.794834307992203","0.794834307992203","0.794834307992203","1"
"9","Building 10.5311.1","2","1","1","0.998203915354931","1","0.780701754385965","2.39628623433605e-221","NaN","1","1","1","1","1","1","1","0.780701754385965","0.780701754385965","0.780701754385965","1"
"10","Building 11.5313.1","2","1","1","0.998203915354931","1","0.794346978557505","6.62260453985462e-206","NaN","1","1","1","1","1","1","1","0.794346978557505","0.794346978557505","0.794346978557505","1"
"11","Building 12.5314.1","2","1","1","0.998203915354931","1","0.784600389863548","6.58813064698634e-217","NaN","1","1","1","1","1","1","1","0.784600389863548","0.784600389863548","0.784600389863548","1"
"12","Building 13.5316.1","2","0.99737532808399","0.991049614734073","0.990551231178319","0.999681981852335","0.821522309711286","1.20627425178265e-61","1","0.992647058823529","0.998402555910543","0.99264705882353","0.998402555910543","0.992647058823529","0.992647058823529","0.992647058823529","0.178477690288714","0.177165354330709","0.178477690288714","0.995524807367036"
"13","Building 14.5317.1","2","1","1","0.998203915354931","1","0.587231968810916","0","NaN","1","1","1","1","1","1","1","0.587231968810916","0.587231968810916","0.587231968810916","1"
"14","Building 14.5318.1","2","1","1","0.998203915354931","1","0.77046783625731","4.17120646043305e-233","NaN","1","1","1","1","1","1","1","0.77046783625731","0.77046783625731","0.77046783625731","1"
"15","Building 15.5322.1","2","1","1","0.998203915354931","1","0.594541910331384","0","NaN","1","1","1","1","1","1","1","0.594541910331384","0.594541910331384","0.594541910331384","1"
"16","Building 15.5323.1","2","1","1","0.998203915354931","1","0.741228070175439","1.38424136275476e-267","NaN","1","1","1","1","1","1","1","0.741228070175439","0.741228070175439","0.741228070175439","1"
"17","Building 16.5325.1","2","1","1","0.998203915354931","1","0.690058479532164","0","NaN","1","1","1","1","1","1","1","0.690058479532164","0.690058479532164","0.690058479532164","1"
"18","Building 17.5329.1","2","1","1","0.998203915354931","1","0.623781676413255","0","NaN","1","1","1","1","1","1","1","0.623781676413255","0.623781676413255","0.623781676413255","1"
"19","Building 18.5332.1","2","1","1","0.998203915354931","1","0.514132553606238","0","NaN","1","1","1","1","1","1","1","0.485867446393762","0.485867446393762","0.485867446393762","1"
"20","Building 19.5333.1","2","1","1","0.998203915354931","1","0.535087719298246","0","NaN","1","1","1","1","1","1","1","0.464912280701754","0.464912280701754","0.464912280701754","1"
"21","Building 20.5335.1","2","1","1","0.998203915354931","1","0.676900584795322","0","NaN","1","1","1","1","1","1","1","0.676900584795322","0.676900584795322","0.676900584795322","1"
