"","ModelName","Type","Accuracy"
"1","Building 1.5198.1","elect","51.0233918128655%"
"2","Building 2.5199.1","elect","80.7017543859649%"
"3","Building 3.5286.1","elect","47.5633528265107%"
"4","Building 4.5288.1","elect","NA"
"5","Building 5.5290.1","elect","72.1247563352826%"
"6","Building 6.5304.1","elect","96.9077568134172%"
"7","Building 7.5306.1","elect","26.8518518518519%"
"8","Building 8.5308.1","elect","53.6062378167641%"
"9","Building 5.5310.1","elect","80.3118908382066%"
"10","Building 10.5311.1","elect","23.3430799220273%"
"11","Building 11.5313.1","elect","80.3606237816764%"
"12","Building 12.5314.1","elect","23.2456140350877%"
"13","Building 13.5316.1","elect","94.488188976378%"
"14","Building 14.5317.1","elect","61.9395711500975%"
"15","Building 14.5318.1","elect","27.8265107212476%"
"16","Building 15.5322.1","elect","37.5730994152047%"
"17","Building 15.5323.1","elect","24.7076023391813%"
"18","Building 16.5325.1","elect","25.8284600389864%"
"19","Building 17.5329.1","elect","62.280701754386%"
"20","Building 18.5332.1","elect","50.3411306042885%"
"21","Building 19.5333.1","elect","54.0448343079922%"
"22","Building 20.5335.1","elect","64.1325536062378%"
"23","Building 21.5340.1","elect","68.3723196881092%"
"24","Building 22.5351.1","elect","44.6881091617934%"
"25","Building 23.5352.1","elect","32.2124756335283%"
"26","Building 24.5355.1","elect","32.7972709551657%"
"27","Building 25.5356.1","elect","22.3196881091618%"
"28","Building 26.5357.1","elect","75.3411306042885%"
"29","Building 26.5358.1","elect","21.1500974658869%"
"30","Building 28.28096.1","elect","43.7134502923977%"
"31","Building 30.28161.1","elect","25%"
"32","Building 30.28162.1","elect","36.5497076023392%"
"33","Building 29.28168.1","elect","55.458089668616%"
