,ModelName,Type,Accuracy
1,Building 1.5198.1,elect,98.84287454
2,Building 2.5199.1,elect,95.98051157
3,Building 3.5286.1,elect,100
4,Building 4.5288.1,elect,NA
5,Building 5.5290.1,elect,97.01583435
6,Building 6.5304.1,elect,99.4757536
7,Building 7.5306.1,elect,96.83313033
8,Building 8.5308.1,elect,96.16321559
9,Building 5.5310.1,elect,96.52862363
10,Building 10.5311.1,elect,96.04141291
11,Building 11.5313.1,elect,94.45797808
12,Building 12.5314.1,elect,95.61510353
13,Building 13.5316.1,elect,99.01639344
14,Building 14.5317.1,elect,99.51278928
15,Building 14.5318.1,elect,96.46772229
16,Building 15.5322.1,elect,97.32034105
17,Building 15.5323.1,elect,99.51278928
18,Building 16.5325.1,elect,96.95493301
19,Building 17.5329.1,elect,98.17295981
20,Building 18.5332.1,elect,99.81729598
21,Building 19.5333.1,elect,99.3909866
22,Building 20.5335.1,elect,95.61510353
23,Building 21.5340.1,elect,96.77222899
24,Building 22.5351.1,elect,96.65042631
25,Building 23.5352.1,elect,98.05115713
26,Building 24.5355.1,elect,94.45797808
27,Building 25.5356.1,elect,97.01583435
28,Building 26.5357.1,elect,96.58952497
29,Building 26.5358.1,elect,94.27527406
30,Building 28.28096.1,elect,96.71132765
31,Building 30.28161.1,elect,99.14738124
32,Building 30.28162.1,elect,99.3909866
